Name,Rating,NumberofReviews,Latitude,Longitude,Category,Sub-Category,Row,Column,Population,Rating_by_Audience
GurudwaraSahebzadaAjeetSinghJi,4.7,63.0,30.726628,76.727075,PilgrimagePlace,Gurudwara,15,0,7896.800000000001,4.577272727272723
bagopalgaubasera,5.0,1.0,30.726918,76.699559,GovernmentBuilding,CityHall,15,0,7896.800000000001,2.75
SubPostOfficeSector55,3.0,79.0,30.727919,76.722534,GovernmentBuilding,PostOffice,15,0,7896.800000000001,2.963414634146341
BeantSinghMemorialLibrary,4.0,340.0,30.727045,76.735105,GovernmentBuilding,Library,15,0,7896.800000000001,3.9825072886297375
GeneralHospital,4.0,2.0,30.726235,76.725067,Hospital,GeneralHospital,15,0,7896.800000000001,2.8
GardenOfPalms,4.2,247.0,30.725782,76.737136,Entertainment,AmusementPark,15,0,7896.800000000001,4.173600000000018
NewLake,4.0,293.0,30.727078,76.738123,Entertainment,AmusementPark,15,0,7896.800000000001,3.97972972972973
Mubarak'sHairStudio,4.9,266.0,30.727778,76.722822,PersonalCare,HairSalon,15,0,7896.800000000001,4.867657992565063
42D,5.0,1.0,30.727377,76.737259,OutdoorSpace,Lake,15,0,7896.800000000001,2.75
GardenOfPalms,4.2,247.0,30.725782,76.737136,OutdoorSpace,Garden,15,0,7896.800000000001,4.173600000000018
LovelyProfessionalUniversityOffice,4.1,56.0,30.726874,76.722936,EducationalInstitute,University,15,0,7896.800000000001,3.993220338983048
GHSSector54Chandigarh,4.0,23.0,30.727968,76.729666,EducationalInstitute,School,15,0,7896.800000000001,3.769230769230769
Kutsandkurlsunisexsalon,4.8,41.0,30.726663,76.725146,Shop,BeautyParlour,15,0,7896.800000000001,4.609090909090912
MEDIAHEIGHTS,4.8,12.0,30.725959,76.725254,Office,MediaCompany,15,0,7896.800000000001,4.239999999999999
RanjitSingh&CompanyOFFICE,5.0,6.0,30.726556,76.717092,Office,CorporateOffice,15,0,7896.800000000001,4.0
YOGYATRAVELS,4.6,32.0,30.726937,76.723353,Office,TravelAgency,15,0,7896.800000000001,4.377142857142855
BAHIKHATAMASTER-GSTReturnFilinginMohali|IncomeTaxConsultant|EPF&ESIConsultant|AccountingServicesinMohali,5.0,23.0,30.727189,76.726135,Office,AccountingFirm,15,0,7896.800000000001,4.653846153846154
"TAXTERMINUS-BestCAinMohali,CAFirms",5.0,1.0,30.726405,76.72498,Office,AccountingFirm,15,0,7896.800000000001,2.75
