SEVA Foundation,5.0,(1),30.73228,76.770713,Office,Non-Profit Organization
SEWA Shakti Kendra Mohali,N/A,N/A,30.679675,76.756606,Office,Non-Profit Organization
Amway,N/A,N/A,30.699909,76.730163,Office,Non-Profit Organization
Giving HANDS for HUMANITY,N/A,N/A,30.691151,76.756646,Office,Non-Profit Organization
Art of Living Temple of Knowledge - Kashi Vishwanath Devasthanam,4.7,(119),30.68909,76.728889,Office,Non-Profit Organization
SEVA Foundation,5.0,(1),30.73228,76.770713,Office,Non-Profit Organization
Om Mahadev Kawad Seva Dal,5.0,(17),30.70751,76.757543,Office,Non-Profit Organization
Amway,N/A,N/A,30.699909,76.730163,Office,Non-Profit Organization
Giving HANDS for HUMANITY,N/A,N/A,30.691151,76.756646,Office,Non-Profit Organization
Samaj Sevak Alamjit Singh Mann,5.0,(1),21.068007,82.752529,Office,Non-Profit Organization
Om Mahadev Kawad Seva Dal,5.0,(17),30.70751,76.757543,Office,Non-Profit Organization
SEWA Punjab,N/A,N/A,30.70751,76.757543,Office,Non-Profit Organization
PEOPLE'S DEVELOPMENT CENTRE,N/A,N/A,30.707475,76.757704,Office,Non-Profit Organization
Statice Health,N/A,N/A,30.72256,76.7589,Office,Non-Profit Organization
Om Mahadev Kawad Seva Dal,5.0,(17),30.70751,76.757543,Office,Non-Profit Organization
ARISE Impact,5.0,(2),30.725514,76.753955,Office,Non-Profit Organization
arms of Hope People Foundation,N/A,N/A,30.73228,76.770713,Office,Non-Profit Organization
Career Booster,5.0,(1),30.720055,76.765606,Office,Non-Profit Organization
ARISE Impact,5.0,(2),30.725514,76.753955,Office,Non-Profit Organization
Khelshala,4.5,(63),30.726063,76.749624,Office,Non-Profit Organization
KARAMPAATH FOUNDATION,N/A,N/A,30.719058,76.748704,Office,Non-Profit Organization
AASHRAY NGO,4.9,(417),30.736355,76.741581,Office,Non-Profit Organization
